time,rating,free_text,do_better,surgery,pcn,sentiment_free_text,sentiment_score_free_text,sentiment_do_better,sentiment_score_do_better,free_text_len,do_better_len,rating_score,feedback_labels,improvement_labels,submission_id,respondent-id,emotion_free_text,emotion_do_better,free_text_PER,do_better_PER,campaing_id,logic,campaign_rating,campaign_freetext,free_text_qa,do_better_qa
2024-01-03 21:23:32,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-03 21:55:34,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,3.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 10:42:00,Very good,We have had Very good service from the NHS regarding my diabetes All of my needs have been met Iâ€™m very happy,,Scarsdale-Medical-Centre,Brompton-Health-PCN,positive,0.9767250418663024,neutral,0.0,22.0,0,5.0,Excellent Clinical Care and Thorough Explanation,,mannual,upload,joy,,,,,,,,"{'score': 0.024738367646932602, 'start': 65, 'end': 111, 'answer': 'All of my needs have been met Iâ€™m very happy'}",
2024-01-04 11:45:52,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 11:46:06,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 11:46:50,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,1,5.0,,,,,,,,,,,,,,
2024-01-04 11:47:11,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 11:47:16,Good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,4.0,,,,,,,,,,,,,,
2024-01-04 11:47:50,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 11:48:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,1,5.0,,,,,,,,,,,,,,
2024-01-04 11:48:32,Good,The staff polite feel welcome and comfortable whit doctor,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.8193181753158569,neutral,0.0,9.0,1,4.0,Staff Professionalism and Knowledge,,,,gratitude,,,,,,,,"{'score': 0.0009052646928466856, 'start': 0, 'end': 45, 'answer': 'The staff polite feel welcome and comfortable'}",
2024-01-04 11:50:09,Very good,I ve been with the Surgery for years Good service even in Covid Many thanks,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9576987624168396,neutral,0.0,14.0,1,5.0,Overall Excellent Service and Practice,,,,gratitude,,,,,,,,"{'score': 0.000954213785007596, 'start': 37, 'end': 75, 'answer': 'Good service even in Covid Many thanks'}",
2024-01-04 11:54:46,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 12:01:37,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,4.0,1,5.0,,,,,,,,,,,,,,
2024-01-04 12:06:06,Good,All people who works there Very kind team work are Very good,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9719485640525818,neutral,0.0,12.0,0,4.0,"Staff Kindness, Empathy and Compassion",,,,admiration,,,,,,,,"{'score': 0.005009632557630539, 'start': 27, 'end': 60, 'answer': 'Very kind team work are Very good'}",
2024-01-04 12:07:08,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,4.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 12:22:48,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
